title,rating,ratingLevel,release year,user rating score,Рейтинг КП,Голоса КП,Рейтинг IMDb,Голоса IMDb,Жанры,Страны
Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,2016,89.0,0.0,144,6.7,680,"фантастика, боевик, короткометражка",США
Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,66.0,6.967,1809,7.3,14018,"боевик, драма, криминал, триллер, детектив","Франция, Германия, Бельгия, США"
Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,85.0,7.726,114953,7.8,245389,"фантастика, боевик, триллер, драма, криминал, детектив",США
Hap and Leonard,TV-MA,Unknown,2016,57.0,6.981,1185,7.6,8471,"триллер, драма, криминал, детектив",США
Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,81.0,6.825,2572,6.7,9272,"драма, криминал, детектив",США
Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,84.0,8.015,901551,7.4,622042,"триллер, драма, фантастика",США
Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,86.0,7.31,8701,8.0,67653,"фантастика, триллер, драма, детектив","Канада, США"
The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,57.0,7.189,1167,8.0,5399,"драма, криминал, детектив",Австралия
The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2005,79.0,7.693,1515,8.9,90151,драма,США
Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,95.0,7.117,3417,7.7,50463,"триллер, драма, криминал, детектив",США
Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2011,88.0,0.0,54,8.8,7555,"документальный, криминал",США
Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,70.0,6.431,8862,7.8,27737,"триллер, драма",США
American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,79.0,7.974,2784,0.0,0,"драма, криминал, биография",США
The Nightmare Before Christmas,PG,some scary images,1993,84.0,8.078,153387,7.9,377243,"мультфильм, мюзикл, фэнтези, семейный",США
Scooby-Doo,PG,"some rude humor, language and some scary action",2002,86.0,5.94,46073,5.3,126605,"фэнтези, комедия, детектив, приключения, семейный","США, Австралия"
Chicken Little,G,General Audiences. Suitable for all ages.,2005,92.0,6.275,40067,5.7,101532,"мультфильм, фантастика, фэнтези, комедия, приключения, семейный","США, Япония"
Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",2008,57.0,7.603,74671,8.4,128007,"мультфильм, фантастика, фэнтези, боевик, драма, приключения",США
Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",2008,57.0,7.603,74671,8.4,128007,"мультфильм, фантастика, фэнтези, боевик, драма, приключения",США
